Major,College,Type
Disability & Diversity,University of Hawaiʻi at Mānoa,GCert
Disaster Management and Humanitarian Assistance,University of Hawaiʻi at Mānoa,GCert
Disaster Preparedness and Emergency Management,University of Hawaiʻi–West Oʻahu,UCert
Early Childhood Education,University of Hawaiʻi at Mānoa,MEd
Early Childhood Education,Hawaiʻi Community College,"AS, CA, CO"
Early Childhood Education,Honolulu Community College,"AS, CA, CO"
Early Childhood Education,Kauaʻi Community College,"AS, CA, CO"
Early Childhood Education,Maui College,"AS, CA, CO"
Earth Sciences,University of Hawaiʻi at Mānoa,BS
Earth and Planetary Exploration Tech,University of Hawaiʻi at Mānoa,UCert
Earth and Planetary Sciences,University of Hawaiʻi at Mānoa,"PhD, MS"
East Asian Languages & Literatures,University of Hawaiʻi at Mānoa,"PhD, MA"
Economics,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
Education,University of Hawaiʻi at Mānoa,"PhD, MEdT"
Education,University of Hawaiʻi at Hilo,MEd
Education,University of Hawaiʻi–West Oʻahu,BEd
Educational Administration,University of Hawaiʻi at Mānoa,MEd
Educational Foundations,University of Hawaiʻi at Mānoa,MEd
Educational Paraprofessional,Kapiʻolani Community College,"AS, CO"
Educational Psychology,University of Hawaiʻi at Mānoa,"PhD, MEd"
Educational Studies,University of Hawaiʻi at Hilo,"BA, UCert"
Electrical Engineering,University of Hawaiʻi at Mānoa,"PhD, MS, BS"
Electrical Installation & Maintenance Technology,Hawaiʻi Community College,"AAS, CA"
Electrical Installation & Maintenance Technology,Honolulu Community College,"AAS, CA"
Electrical Installation & Maintenance Technology,Kauaʻi Community College,"AAS, CA, CO"
Electronic & Computer Engineering Technology,Maui College,"AS, CA, CO"
Electronics Technology,Hawaiʻi Community College,"AAS, CA, CO"
Electronics Technology,Kauaʻi Community College,"AS, CA, CO"
Elementary Education,University of Hawaiʻi at Mānoa,BEd
Emergency Medical Technician,Kapiʻolani Community College,CO
Engineering Science,University of Hawaiʻi at Mānoa,BS
English,University of Hawaiʻi at Mānoa,"PhD, MA, BA"
English,University of Hawaiʻi at Hilo,BA
Entomology,University of Hawaiʻi at Mānoa,"PhD, MS"
Entrepreneurship,University of Hawaiʻi at Mānoa,"BBA, GCert"
Entrepreneurship,Honolulu Community College,ASC
Entrepreneurship,Kapiʻolani Community College,CO
Environmental Design,University of Hawaiʻi at Mānoa,BEnvD
Environmental Earth Science,University of Hawaiʻi at Mānoa,BA
Environmental Management,University of Hawaiʻi at Mānoa,MEM
Environmental Science,University of Hawaiʻi at Hilo,BS
Environmental Studies,University of Hawaiʻi at Mānoa,UCert
Environmental Studies,University of Hawaiʻi at Hilo,UCert
Epidemiology,University of Hawaiʻi at Mānoa,PhD
Equine Science,University of Hawaiʻi at Hilo,UCert
